event,ts_utc,count,filename,out_dir,interval_seconds,display,region,send
start,2026-08-14T03:21:46.879844+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:21:49.596025+00:00,1,axiom_20260814T032146Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:23:52.116771+00:00,2,axiom_20260814T032349Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:25:54.777297+00:00,3,axiom_20260814T032552Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
stop,2026-08-14T03:26:55.787959+00:00,3,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
start,2026-08-14T03:27:10.861425+00:00,0,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:27:13.447215+00:00,1,axiom_20260814T032710Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:29:16.601963+00:00,2,axiom_20260814T032913Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:31:19.401924+00:00,3,axiom_20260814T033116Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:33:22.179762+00:00,4,axiom_20260814T033319Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:35:24.725137+00:00,5,axiom_20260814T033522Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:37:27.450377+00:00,6,axiom_20260814T033724Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:39:30.187362+00:00,7,axiom_20260814T033927Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:41:32.590458+00:00,8,axiom_20260814T034130Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:43:35.217992+00:00,9,axiom_20260814T034332Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:45:37.876397+00:00,10,axiom_20260814T034535Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:47:40.525232+00:00,11,axiom_20260814T034737Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:49:43.056242+00:00,12,axiom_20260814T034940Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:51:45.859628+00:00,13,axiom_20260814T035143Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:53:48.604885+00:00,14,axiom_20260814T035345Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:55:51.330918+00:00,15,axiom_20260814T035548Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
capture,2026-08-14T03:57:53.838231+00:00,16,axiom_20260814T035751Z.png,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
stop,2026-08-14T03:59:55.810047+00:00,17,,/home/gg/Documents/codes/cli_ap/multicomputeverse_v2,120.0,1,None,git
